YEAR,TEAM,RUNS SCORED,WICKETS LOST,WICKETS TAKEN,AGAINST,RESULT,VENUE,WINNER
2007,SA,294,10,6,AUS,LOST,ST.KITTS,AUSTRALIA
2007,SA,212,9,10,SL,WON,GUYANA,AUSTRALIA
2007,SA,165,3,8,IRE,WON,GUYANA,AUSTRALIA
2007,SA,184,10,8,BAN,LOST,GUYANA,AUSTRALIA
2007,SA,356,4,9,WI,WON,GRENADA,AUSTRALIA
2007,SA,193,7,5,NZ,LOST,GRENADA,AUSTRALIA
2007,SA,157,1,10,ENG,WON,BARBADOS,AUSTRALIA
2007,SA,149,10,3,AUS,LOST,ST.LUCIA,AUSTRALIA
2007,BAN,192,5,10,IND,WON,TRINIDAD,AUSTRALIA
2007,BAN,112,10,4,SL,LOST,TRINIDAD,AUSTRALIA
2007,BAN,96,3,9,BER,WON,TRINIDAD,AUSTRALIA
2007,BAN,104,6,10,AUS,LOST,ANTIGUA,AUSTRALIA
2007,BAN,174,10,1,NZ,LOST,ANTIGUA,AUSTRALIA
2007,BAN,251,8,10,SA,WON,GUYANA,AUSTRALIA
2007,BAN,143,10,6,ENG,LOST,BARBADOS,AUSTRALIA
2007,BAN,169,10,7,IRE,LOST,BARBADOS,AUSTRALIA
2007,BAN,131,10,5,WI,LOST,BARBADOS,AUSTRALIA
2007,IND,191,10,5,BAN,LOST,TRINIDAD,AUSTRALIA
2007,IND,413,5,10,BER,WON,TRINIDAD,AUSTRALIA
2007,IND,185,10,6,SL,LOST,TRINIDAD,AUSTRALIA
2011,BAN,283,9,4,IND,LOST,DHAKA,INDIA
2011,BAN,205,10,10,IRE,WON,DHAKA,INDIA
2011,BAN,58,10,1,WI,LOST,DHAKA,INDIA
2011,BAN,227,8,10,ENG,WON,CHATTOGRAM,INDIA
2011,BAN,166,4,10,NED,WON,CHATTOGRAM,INDIA
2011,BAN,78,10,8,SA,LOST,DHAKA,INDIA
2011,IND,370,4,9,BAN,WON,DHAKA,INDIA
2011,IND,338,10,8,ENG,TIE,BENGALURU,INDIA
2011,IND,210,5,10,IRE,WON,BENGALURU,INDIA
2011,IND,191,10,5,NED,WON,DELHI,INDIA
2011,IND,296,10,7,SA,LOST,NAGPUR,INDIA
2011,IND,268,10,10,WI,WON,CHENNAI,INDIA
2011,IND,267,5,6,AUS,WON,AHMEDABAD,INDIA
2011,IND,260,9,10,PAK,WON,MOHALI,INDIA
2011,IND,277,4,6,SL,WON,MUMBAI,INDIA
2011,NZ,72,0,10,KEN,WON,CHENNAI,INDIA
2011,NZ,206,10,3,AUS,LOST,NAGPUR,INDIA
2011,NZ,166,0,10,ZIM,WON,AHMEDABAD,INDIA
2011,NZ,302,7,10,PAK,WON,PALLEKALE,INDIA
2011,NZ,358,6,9,CAN,WON,MUMBAI,INDIA
2011,NZ,153,10,9,SL,LOST,MUMBAI,INDIA
2011,NZ,221,8,10,SA,WON,DHAKA,INDIA
2011,NZ,217,10,5,NZ,LOST,COLOMBO,INDIA
2011,PAK,317,7,10,KEN,WON,HAMBANTOTA,INDIA
2011,PAK,277,7,9,SL,WON,COLOMBO,INDIA
2011,PAK,184,10,10,CAN,WON,COLOMBO,INDIA
2011,PAK,192,10,7,NZ,LOST,PALLEKALE,INDIA
2011,PAK,164,3,7,ZIM,WON,PALLEKALE,INDIA
2011,PAK,178,6,10,AUS,WON,COLOMBO,INDIA
2011,PAK,113,0,10,WI,WON,DHAKA,INDIA
2011,PAK,231,10,9,IND,WON,MOHALI,INDIA
2011,KEN,69,10,0,NZ,LOST,CHENNAI,INDIA
2011,KEN,112,10,7,PAK,LOST,HAMBANTOTA,INDIA
2011,KEN,142,10,1,SL,LOST,COLOMBO,INDIA
2011,KEN,198,10,5,CAN,LOST,DELHI,INDIA
2011,KEN,264,6,6,AUS,LOST,BENGALURU,INDIA
2011,KEN,147,10,6,ZIM,LOST,KOLKATA,INDIA
2011,SL,332,7,10,CAN,WON,HAMBANTOTA,INDIA
2011,SL,266,9,7,PAK,LOST,COLOMBO,INDIA
2011,SL,146,1,10,KEN,WON,COLOMBO,INDIA
2011,SL,NR,NR,NR,AUS,NR,COLOMBO,INDIA
2011,SL,327,6,10,ZIM,WON,PALLEKALE,INDIA
2011,SL,265,9,10,NZ,WON,MUMBAI,INDIA
2011,SL,231,0,6,ENG,WON,COLOMBO,INDIA
2011,SL,220,5,10,NZ,WON,COLOMBO,INDIA
2011,SL,274,6,4,IND,LOST,MUMBAI,INDIA
2011,CAN,122,10,7,SL,LOST,HAMBANTOTA,INDIA
2011,CAN,123,10,9,ZIM,LOST,NAGPUR,INDIA
2011,CAN,138,10,10,PAK,LOST,COLOMBO,INDIA
2011,CAN,199,5,10,KEN,WON,DELHI,INDIA
2011,CAN,261,9,6,NZ,LOST,MUMBAI,INDIA
2011,CAN,211,10,3,AUS,LOST,BENGALURU,INDIA
2011,AUS,262,6,10,ZIM,WON,AHMEDABAD,INDIA
2011,AUS,207,3,10,NZ,WON,NAGPUR,INDIA
2011,AUS,NR,NR,NR,SL,NR,COLOMBO,INDIA
2011,AUS,324,6,6,KEN,WON,BENGALURU,INDIA
2011,AUS,212,3,10,CAN,WON,BENGALURU,INDIA
2011,AUS,176,10,6,PAK,LOST,COLOMBO,INDIA
2011,AUS,260,6,5,IND,LOST,AHMEDABAD,INDIA
2011,ZIM,171,10,6,AUS,LOST,AHMEDABAD,INDIA
2011,ZIM,298,9,10,CAN,WON,NAGPUR,INDIA
2011,ZIM,162,10,0,NZ,LOST,AHMEDABAD,INDIA
2011,ZIM,188,10,6,SL,LOST,PALLEKALE,INDIA
2011,ZIM,151,7,3,PAK,LOST,PALLEKALE,INDIA
2011,ZIM,308,6,10,KEN,WON,KOLKATA,INDIA
2011,ENG,296,4,6,NED,WON,NAGPUR,INDIA
2011,ENG,338,9,10,IND,TIE,BENGALURU,INDIA
2011,ENG,327,8,7,IRE,LOST,BENGALURU,INDIA
2011,ENG,171,10,10,SA,WON,CHENNAI,INDIA
2011,ENG,225,10,8,BAN,LOST,CHATTOGRAM,INDIA
2011,ENG,243,10,10,WI,WON,CHENNAI,INDIA
2011,ENG,229,6,0,SL,LOST,COLOMBO,INDIA
2011,NED,292,6,4,ENG,LOST,NAGPUR,INDIA
2011,NED,115,10,8,WI,LOST,DELHI,INDIA
2011,NED,120,10,5,SA,LOST,MOHALI,INDIA
2011,NED,189,10,5,IND,LOST,DELHI,INDIA
2011,NED,160,10,4,BAN,LOST,CHATTOGRAM,INDIA
2011,NED,306,10,4,IRE,LOST,KOLKATA,INDIA
2011,SA,223,3,10,WI,WON,DELHI,INDIA
2011,SA,351,5,10,NED,WON,MOHALI,INDIA
2011,SA,165,10,10,ENG,LOST,CHENNAI,INDIA
2011,SA,300,7,10,IND,LOST,NAGPUR,INDIA
2011,SA,272,7,10,IRE,LOST,KOLKATA,INDIA
2011,SA,284,8,10,BAN,LOST,DHAKA,INDIA
2011,SA,172,10,8,NZ,WON,DHAKA,INDIA
2011,WI,222,10,3,SA,LOST,DELHI,INDIA
2011,WI,330,8,10,NED,WON,DELHI,INDIA
2011,WI,59,1,10,BAN,WON,DHAKA,INDIA
2011,WI,275,10,10,IRE,WON,MOHALI,INDIA
2011,WI,225,10,10,ENG,LOST,CHENNAI,INDIA
2011,WI,188,10,10,IND,LOST,CHENNAI,INDIA
2011,WI,112,10,0,PAK,LOST,DHAKA,INDIA
2011,IRE,178,10,10,BAN,LOST,DHAKA,INDIA
2011,IRE,329,7,8,ENG,WON,BENGALURU,INDIA
2011,IRE,207,10,5,IND,LOST,BENGALURU,INDIA
2011,IRE,231,10,10,WI,LOST,MOHALI,INDIA
2011,IRE,141,10,7,SA,LOST,KOLKATA,INDIA
2011,IRE,307,4,10,NED,WON,KOLKATA,INDIA
2015,NZ,331,6,10,SL,WON,CHRISTCHURCH,AUSTRALIA
2015,NZ,146,7,10,SCO,WON,DUNEDIN,AUSTRALIA
2015,NZ,125,2,10,ENG,WON,WELLINGTON,AUSTRALIA
2015,NZ,152,9,10,AUS,WON,AUCKLAND,AUSTRALIA
2015,NZ,188,4,10,AFG,WON,NAPIER,AUSTRALIA
2015,NZ,290,7,7,BAN,WON,HAMILTON,AUSTRALIA
2015,NZ,393,6,10,WI,WON,WELLINGTON,AUSTRALIA
2015,NZ,299,6,5,SA,WON,AUCKLAND,AUSTRALIA
2015,SL,233,10,6,NZ,LOST,CHRISTCHURCH,AUSTRALIA
2015,SL,236,6,10,AFG,WON,DUNEDIN,AUSTRALIA
2015,SL,332,1,10,BAN,WON,MELBOURNE,AUSTRALIA
2015,SL,312,1,6,ENG,WON,WELLINGTON,AUSTRALIA
2015,SL,312,10,9,AUS,LOST,SYDNEY,AUSTRALIA
2015,SL,363,9,10,SCO,WON,HOBART,AUSTRALIA
2015,SL,133,10,1,SA,LOST,SYDNEY,AUSTRALIA
2015,AUS,342,9,1,ENG,WON,MELBOURNE,AUSTRALIA
2015,AUS,NR,NR,NR,BAN,NR,BRISBANE,AUSTRALIA
2015,AUS,151,10,9,NZ,LOST,AUCKLAND,AUSTRALIA
2015,AUS,417,6,10,AFG,WON,PERTH,AUSTRALIA
2015,AUS,376,9,10,SL,WON,SYDNEY,AUSTRALIA
2015,AUS,133,3,10,SCO,WON,HOBART,AUSTRALIA
2015,AUS,216,4,10,PAK,WON,ADELAIDE,AUSTRALIA
2015,AUS,328,7,10,IND,WON,SYDNEY,AUSTRALIA
2015,AUS,186,3,10,NZ,WON,MELBOURNE,AUSTRALIA
2015,ENG,231,10,9,AUS,LOST,MELBOURNE,AUSTRALIA
2015,ENG,123,10,2,NZ,LOST,WELLINGTON,AUSTRALIA
2015,ENG,303,8,10,SCO,WON,CHRISTCHURCH,AUSTRALIA
2015,ENG,309,6,1,SL,LOST,WELLINGTON,AUSTRALIA
2015,ENG,260,10,7,BAN,LOST,ADELAIDE,AUSTRALIA
2015,ENG,101,1,7,AFG,WON,SYDNEY,AUSTRALIA
2015,SA,339,4,10,ZIM,WON,HAMILTON,AUSTRALIA
2015,SA,177,10,7,IND,LOST,MELBOURNE,AUSTRALIA
2015,SA,408,5,10,WI,WON,SYDNEY,AUSTRALIA
2015,SA,411,4,10,IRE,WON,CANBERRA,AUSTRALIA
2015,SA,202,10,10,PAK,LOST,AUCKLAND,AUSTRALIA
2015,SA,341,6,10,UAE,WON,WELLINGTON,AUSTRALIA
2015,SA,134,1,10,SL,WON,SYDNEY,AUSTRALIA
2015,SA,281,5,6,NZ,LOST,AUCKLAND,AUSTRALIA
2015,ZIM,277,10,4,SA,LOST,HAMILTON,AUSTRALIA
2015,ZIM,286,6,7,UAE,WON,NELSON,AUSTRALIA
2015,ZIM,289,10,2,WI,LOST,CANBERRA,AUSTRALIA
2015,ZIM,215,10,7,PAK,LOST,BRISBANE,AUSTRALIA
2015,ZIM,326,10,8,IRE,LOST,HOBART,AUSTRALIA
2015,ZIM,287,10,4,IND,LOST,AUCKLAND,AUSTRALIA
2015,IND,300,7,10,PAK,WON,ADELAIDE,AUSTRALIA
2015,IND,307,7,10,SA,WON,MELBOURNE,AUSTRALIA
2015,IND,104,1,10,UAE,WON,PERTH,AUSTRALIA
2015,IND,185,6,10,WI,WON,PERTH,AUSTRALIA
2015,IND,260,2,10,IRE,WON,HAMILTON,AUSTRALIA
2015,IND,288,4,7,ZIM,WON,AUCKLAND,AUSTRALIA
2015,IND,302,6,10,BAN,WON,MELBOURNE,AUSTRALIA
2015,IND,233,10,7,AUS,LOST,SYDNEY,AUSTRALIA
2015,PAK,224,10,7,IND,LOST,ADELAIDE,AUSTRALIA
2015,PAK,160,10,6,WI,LOST,CHRISTCHURCH,AUSTRALIA
2015,PAK,235,7,10,ZIM,WON,BRISBANE,AUSTRALIA
2015,PAK,339,6,8,UAE,WON,NAPIER,AUSTRALIA
2015,PAK,222,10,10,SA,WON,AUCKLAND,AUSTRALIA
2015,PAK,241,3,10,IRE,WON,ADELAIDE,AUSTRALIA
2015,PAK,231,10,4,AUS,LOST,ADELAIDE,AUSTRALIA
2015,IRE,307,6,7,WI,WON,NAPIER,AUSTRALIA
2015,IRE,279,8,9,UAE,WON,BRISBANE,AUSTRALIA
2015,IRE,210,10,4,SA,LOST,CANBERRA,AUSTRALIA
2015,IRE,331,8,10,ZIM,WON,HOBART,AUSTRALIA
2015,IRE,259,10,2,IND,LOST,HAMILTON,AUSTRALIA
2015,IRE,237,10,3,PAK,LOST,ADELAIDE,AUSTRALIA
2015,WI,304,7,6,IRE,LOST,NELSON,AUSTRALIA
2015,WI,310,6,10,PAK,WON,CHRISTCHURCH,AUSTRALIA
2015,WI,372,2,10,ZIM,WON,CANBERRA,AUSTRALIA
2015,WI,151,10,5,SA,LOST,SYDNEY,AUSTRALIA
2015,WI,182,10,6,IND,LOST,PERTH,AUSTRALIA
2015,WI,176,4,10,UAE,WON,NAPIER,AUSTRALIA
2015,WI,250,10,6,NZ,LOST,WELLINGTON,AUSTRALIA
2015,SCO,142,10,7,NZ,LOST,DUNEDIN,AUSTRALIA
2015,SCO,184,10,8,ENG,LOST,CHRISTCHURCH,AUSTRALIA
2015,SCO,210,10,9,AFG,LOST,DUNEDIN,AUSTRALIA
2015,SCO,318,8,4,BAN,LOST,NELSON,AUSTRALIA
2015,SCO,215,10,9,SL,LOST,HOBART,AUSTRALIA
2015,SCO,130,10,3,AUS,LOST,HOBART,AUSTRALIA
2015,BAN,267,10,10,AFG,WON,CANBERRA,AUSTRALIA
2015,BAN,NR,NR,NR,AUS,NR,BRISBANE,AUSTRALIA
2015,BAN,240,10,1,SL,LOST,MELBOURNE,AUSTRALIA
2015,BAN,322,4,8,SCO,WON,NELSON,AUSTRALIA
2015,BAN,275,7,10,ENG,WON,ADELAIDE,AUSTRALIA
2015,BAN,288,7,7,NZ,LOST,HAMILTON,AUSTRALIA
2015,BAN,193,10,6,IND,LOST,MELBOURNE,AUSTRALIA
2015,UAE,285,7,6,ZIM,LOST,NNE,AUSTRALIA
2015,UAE,278,9,8,IRE,LOST,BRISBANE,AUSTRALIA
2015,UAE,102,10,1,IND,LOST,PERTH,AUSTRALIA
2015,UAE,210,8,6,PAK,LOST,NAPIER,AUSTRALIA
2015,UAE,195,10,6,SA,LOST,WELLINGTON,AUSTRALIA
2015,UAE,175,10,4,WI,LOST,NAPIER,AUSTRALIA
2015,AFG,162,10,10,BAN,LOST,CANBERRA,AUSTRALIA
2015,AFG,232,10,6,SL,LOST,DUNEDIN,AUSTRALIA
2015,AFG,211,9,10,SCO,WON,DUNEDIN,AUSTRALIA
2015,AFG,142,10,6,AUS,LOST,PERTH,AUSTRALIA
2015,AFG,186,10,4,NZ,LOST,NAPIER,AUSTRALIA
2015,AFG,111,7,1,ENG,LOST,SYDNEY,AUSTRALIA
2019,ENG,311,8,10,SA,WON,LONDON,ENGLAND
2019,ENG,334,9,8,PAK,LOST,NOTTINGHAM,ENGLAND
2019,ENG,386,6,10,BAN,WON,CARDIFF,ENGLAND
2019,ENG,231,2,10,WI,WON,SOUTHAMPTON,ENGLAND
2019,ENG,397,6,8,AFG,WON,MANCHESTER,ENGLAND
2019,ENG,212,10,9,SL,LOST,LEEDS,ENGLAND
2019,ENG,221,10,7,AUS,LOST,LONDON,ENGLAND
2019,ENG,337,7,5,IND,WON,BIRMINGHAM,ENGLAND
2019,ENG,305,8,10,NZ,WON,CHESTER-LE-STREET,ENGLAND
2019,ENG,226,2,10,AUS,WON,BIRMINGHAM,ENGLAND
2019,ENG,241,10,8,NZ,WON,LONDON,ENGLAND
2019,SA,207,10,8,ENG,LOST,LONDON,ENGLAND
2019,SA,309,8,6,BAN,LOST,LONDON,ENGLAND
2019,SA,227,9,4,IND,LOST,SOUTHAMPTON,ENGLAND
2019,SA,NR,NR,NR,WI,NR,SOUTHAMPTON,ENGLAND
2019,SA,131,1,10,AFG,WON,CARDIFF,ENGLAND
2019,SA,241,6,6,NZ,LOST,BIRMINGHAM,ENGLAND
2019,SA,259,9,7,PAK,LOST,LONDON,ENGLAND
2019,SA,206,1,10,SL,WON,CHESTER-LE-STREET,ENGLAND
2019,SA,325,6,10,AUS,WON,MANCHESTER,ENGLAND
2019,WI,108,3,10,PAK,WON,NOTTINGHAM,ENGLAND
2019,WI,273,9,10,AUS,LOST,NOTTINGHAM,ENGLAND
2019,WI,NR,NR,NR,SA,NR,SOUTHAMPTON,ENGLAND
2019,WI,212,10,2,ENG,LOST,SOUTHAMPTON,ENGLAND
2019,WI,321,8,3,BAN,LOST,TAUNTON,ENGLAND
2019,WI,286,10,8,NZ,LOST,MANCHESTER,ENGLAND
2019,WI,143,10,7,IND,LOST,MANCHESTER,ENGLAND
2019,WI,315,9,6,SL,LOST,CHESTER-LE-STREET,ENGLAND
2019,WI,311,6,10,AFG,WON,LEEDS,ENGLAND
2019,PAK,105,10,3,WI,LOST,NOTTINGHAM,ENGLAND
2019,PAK,348,8,9,ENG,WON,NOTTINGHAM,ENGLAND
2019,PAK,NR,NR,NR,SL,NR,BRISTOL,ENGLAND
2019,PAK,266,10,10,AUS,LOST,TAUNTON,ENGLAND
2019,PAK,212,6,5,IND,LOST,MANCHESTER,ENGLAND
2019,PAK,308,7,9,SA,WON,LONDON,ENGLAND
2019,PAK,241,4,6,NZ,WON,BIRMINGHAM,ENGLAND
2019,PAK,230,7,9,AFG,WON,LEEDS,ENGLAND
2019,PAK,315,9,10,BAN,WON,LONDON,ENGLAND
2019,NZ,137,0,10,SL,WON,CARDIFF,ENGLAND
2019,NZ,248,8,10,BAN,WON,LONDON,ENGLAND
2019,NZ,173,3,10,AFG,WON,TAUNTON,ENGLAND
2019,NZ,NR,NR,NR,IND,NR,NOTTINGHAM,ENGLAND
2019,NZ,245,6,6,SA,WON,BIRMINGHAM,ENGLAND
2019,NZ,291,8,10,WI,WON,MANCHESTER,ENGLAND
2019,NZ,237,6,4,PAK,LOST,BIRMINGHAM,ENGLAND
2019,NZ,157,10,9,AUS,LOST,LONDON,ENGLAND
2019,NZ,186,10,8,ENG,LOST,CHESTER-LE-STREET,ENGLAND
2019,NZ,239,8,10,IND,WON,MANCHESTER,ENGLAND
2019,NZ,241,8,10,ENG,LOST,LONDON,ENGLAND
2019,SL,136,10,0,NZ,LOST,CARDIFF,ENGLAND
2019,SL,201,10,10,AFG,WON,CARDIFF,ENGLAND
2019,SL,NR,NR,NR,PAK,NR,BRISTOL,ENGLAND
2019,SL,NR,NR,NR,BAN,NR,BRISTOL,ENGLAND
2019,SL,247,10,7,AUS,LOST,LONDON,ENGLAND
2019,SL,232,9,10,ENG,WON,LEEDS,ENGLAND
2019,SL,203,10,1,SA,LOST,CHESTER-LE-STREET,ENGLAND
2019,SL,338,6,9,WI,WON,CHESTER-LE-STREET,ENGLAND
2019,SL,264,7,3,IND,LOST,LEEDS,ENGLAND
2019,AFG,207,10,3,AUS,LOST,BRISTOL,ENGLAND
2019,AFG,152,10,10,SL,LOST,CARDIFF,ENGLAND
2019,AFG,172,10,3,NZ,LOST,TAUNTON,ENGLAND
2019,AFG,125,10,1,SA,LOST,CARDIFF,ENGLAND
2019,AFG,247,8,6,ENG,LOST,MANCHESTER,ENGLAND
2019,AFG,213,10,8,IND,LOST,SOUTHAMPTON,ENGLAND
2019,AFG,200,10,7,BAN,LOST,SOUTHAMPTON,ENGLAND
2019,AFG,227,9,7,PAK,LOST,LEEDS,ENGLAND
2019,AFG,288,10,6,WI,LOST,LEEDS,ENGLAND
2019,AUS,209,3,10,AFG,WON,BRISTOL,ENGLAND
2019,AUS,288,10,9,WI,WON,NOTTINGHAM,ENGLAND
2019,AUS,316,10,5,IND,LOST,LONDON,ENGLAND
2019,AUS,307,10,10,PAK,WON,TAUNTON,ENGLAND
2019,AUS,334,7,10,SL,WON,LONDON,ENGLAND
2019,AUS,381,5,8,BAN,WON,NOTTINGHAM,ENGLAND
2019,AUS,285,7,10,ENG,WON,LONDON,ENGLAND
2019,AUS,243,9,10,NZ,WON,LONDON,ENGLAND
2019,AUS,315,10,6,SA,LOST,MANCHESTER,ENGLAND
2019,AUS,223,10,2,ENG,LOST,BIRMINGHAM,ENGLAND
2019,BAN,330,6,8,SA,WON,LONDON,ENGLAND
2019,BAN,244,10,8,NZ,LOST,LONDON,ENGLAND
2019,BAN,280,10,6,ENG,LOST,CARDIFF,ENGLAND
2019,BAN,NR,NR,NR,SL,NR,BRISTOL,ENGLAND
2019,BAN,322,3,8,WI,WON,TAUNTON,ENGLAND
2019,BAN,333,5,8,AUS,LOST,NOTTINGHAM,ENGLAND
2019,BAN,262,7,10,AFG,WON,SOUTHAMPTON,ENGLAND
2019,BAN,286,10,9,IND,LOST,BIRMINGHAM,ENGLAND
2019,BAN,221,10,9,PAK,LOST,LONDON,ENGLAND
2019,IND,230,4,9,SA,WON,SOUTHAMPTON,ENGLAND
2019,IND,352,5,10,AUS,WON,LONDON,ENGLAND
2019,IND,NR,NR,NR,NZ,NR,NOTTINGHAM,ENGLAND
2019,IND,336,5,6,PAK,WON,MANCHESTER,ENGLAND
2019,IND,224,8,10,AFG,WON,SOUTHAMPTON,ENGLAND
2019,IND,268,7,10,WI,WON,MANCHESTER,ENGLAND
2019,IND,306,5,7,ENG,WON,BIRMINGHAM,ENGLAND
2019,IND,314,9,10,BAN,WON,BIRMINGHAM,ENGLAND
2019,IND,265,3,7,SL,WON,LEEDS,ENGLAND
2019,IND,221,10,8,NZ,LOST,MANCHESTER,ENGLAND